date,temperaturemin,temperaturemax,precipitation,snow,snwd,awnd
6/18/20,59,80,0,0,0,5.14
7/8/20,74,89,0,0,0,7.38
7/9/20,73,90,0,0,0,7.38
9/4/20,73,92,0,0,0,2.91
12/10/20,31,61,0,0,0,2.91
12/24/20,49,65,1.76,0,0,10.51
1/16/21,33,46,0,0,0,7.61
2/14/21,33,37,0.41,0,0,8.05
2/17/21,28,47,0,0,0,7.61
3/7/21,29,52,0,0,0,4.03
3/20/21,31,57,0,0,0,10.51
3/23/21,50,62,0,0,0,7.16
4/2/21,32,49,0,0,0,5.82
4/20/21,42,75,0,0,0,7.38
5/21/21,57,83,0,0,0,6.71
5/23/21,64,92,0,0,0,2.91
9/10/21,57,80,0,0,0,3.13
9/13/21,64,90,0,0,0,4.03
9/30/21,60,82,0,0,0,3.8
10/3/21,62,87,0,0,0,8.72
10/26/21,47,70,0,0,0,6.93
12/21/21,30,41,0.27,0,0,4.03
1/29/22,25,36,0.05,0.39,0,8.7
3/15/22,39,71,0,0,0,4.7
1/17/17,47,62,0.04,0,0,8.28
2/13/17,37,64,0,0,0,7.16
2/15/17,39,56,0.34,0,0,5.37
3/19/17,36,57,0,0,0,7.16
3/21/17,50,82,0.2,0,0,5.82
4/19/17,55,69,0,0,0,3.58
4/29/17,72,89,0,0,0,10.07
5/14/17,49,81,0,0,0,7.16
7/7/17,73,91,0,0,0,8.95
7/9/17,69,88,0,0,0,3.36
9/10/17,51,71,0,0,0,8.95
11/15/17,33,54,0,0,0,3.58
11/17/17,34,57,0,0,0,2.91
12/16/17,24,50,0,0,0,3.58
12/19/17,36,70,0,0,0,4.47
2/4/18,33,56,0.61,0,0,6.49
4/2/18,51,81,0,0,0,9.84
4/29/18,44,66,0,0,0,5.82
5/19/18,69,75,0.59,0,0,8.5
6/9/18,68,89,0,0,0,2.68
7/11/18,67,96,0.05,0,0,3.8
8/28/18,71,94,0,0,0,6.04
9/23/18,64,76,0,0,0,5.37
10/2/18,61,83,0,0,0,3.8
10/5/18,68,90,0,0,0,3.8
11/3/18,39,61,0,0,0,5.82
11/11/18,28,51,0,0,0,4.03
12/31/18,47,67,0.13,0,0,8.05
1/8/19,46,67,0,0,0,9.17
2/6/19,47,77,0,0,0,7.16
2/8/19,45,75,0,0,0,9.17
3/28/19,32,66,0,0,0,3.58
6/14/19,53,79,0,0,0,4.03
7/19/19,74,98,0,0,0,6.93
8/19/19,72,95,0,0,0,6.26
8/28/19,69,88,0,0,0,2.91
10/22/19,57,77,0.18,0,0,6.04
11/30/19,46,50,0.25,0,0,4.03
5/5/17,56,78,1.48,0,0,15.88
5/31/17,68,86,0,0,0,4.7
